state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n
CHIH,1,1,1,1,1.1.1.1,550
CHIH,1,1,1,1,2.1.1.1,577
CHIH,1,1,1,1,3.1.1.1,518
CHIH,1,1,1,1,4.1.1.1,612
CHIH,1,1,1,1,5.1.1.1,603
CHIH,1,1,1,1,6.1.1.1,643
CHIH,1,1,1,1,7.1.1.1,654
CHIH,1,1,1,1,8.1.1.1,599
CHIH,1,1,1,1,9.1.1.1,530
CHIH,1,1,1,2,1.1.1.1,240
CHIH,1,1,1,2,2.1.1.1,198
CHIH,1,1,1,2,3.1.1.1,107
CHIH,1,1,1,2,4.1.1.1,297
CHIH,1,1,1,2,5.1.1.1,187
CHIH,1,1,1,2,6.1.1.1,615
CHIH,1,1,1,2,7.1.1.1,378
CHIH,1,1,1,2,8.1.1.1,549
CHIH,1,1,1,2,9.1.1.1,72
CHIH,1,1,1,3,1.1.1.1,273
CHIH,1,1,1,3,2.1.1.1,315
CHIH,1,1,1,3,3.1.1.1,214
CHIH,1,1,1,3,4.1.1.1,293
CHIH,1,1,1,3,5.1.1.1,254
CHIH,1,1,1,3,6.1.1.1,314
CHIH,1,1,1,3,7.1.1.1,410
CHIH,1,1,1,3,8.1.1.1,247
CHIH,1,1,1,3,9.1.1.1,323
CHIH,1,1,1,4,1.1.1.1,187
CHIH,1,1,1,4,2.1.1.1,174
CHIH,1,1,1,4,3.1.1.1,87
CHIH,1,1,1,4,4.1.1.1,171
CHIH,1,1,1,4,5.1.1.1,114
CHIH,1,1,1,4,6.1.1.1,297
CHIH,1,1,1,4,7.1.1.1,270
CHIH,1,1,1,4,8.1.1.1,238
CHIH,1,1,1,4,9.1.1.1,71
CHIH,1,1,1,5,1.1.1.1,334
CHIH,1,1,1,5,2.1.1.1,165
CHIH,1,1,1,5,3.1.1.1,76
CHIH,1,1,1,5,4.1.1.1,277
CHIH,1,1,1,5,5.1.1.1,375
CHIH,1,1,1,5,6.1.1.1,570
CHIH,1,1,1,5,7.1.1.1,200
CHIH,1,1,1,5,8.1.1.1,480
CHIH,1,1,1,5,9.1.1.1,166
CHIH,1,1,1,6,1.1.1.1,146
CHIH,1,1,1,6,2.1.1.1,31
CHIH,1,1,1,6,3.1.1.1,33
CHIH,1,1,1,6,4.1.1.1,144
CHIH,1,1,1,6,5.1.1.1,109
CHIH,1,1,1,6,6.1.1.1,553
CHIH,1,1,1,6,7.1.1.1,151
CHIH,1,1,1,6,8.1.1.1,452
CHIH,1,1,1,6,9.1.1.1,9
CHIH,1,1,1,7,1.1.1.1,173
CHIH,1,1,1,7,2.1.1.1,70
CHIH,1,1,1,7,3.1.1.1,32
CHIH,1,1,1,7,4.1.1.1,107
CHIH,1,1,1,7,5.1.1.1,150
CHIH,1,1,1,7,6.1.1.1,289
CHIH,1,1,1,7,7.1.1.1,94
CHIH,1,1,1,7,8.1.1.1,208
CHIH,1,1,1,7,9.1.1.1,94
CHIH,1,1,1,8,1.1.1.1,113
CHIH,1,1,1,8,2.1.1.1,28
CHIH,1,1,1,8,3.1.1.1,17
CHIH,1,1,1,8,4.1.1.1,71
CHIH,1,1,1,8,5.1.1.1,59
CHIH,1,1,1,8,6.1.1.1,279
CHIH,1,1,1,8,7.1.1.1,80
CHIH,1,1,1,8,8.1.1.1,206
CHIH,1,1,1,8,9.1.1.1,9
CHIH,1,1,2,3,1.1.1.2,277
CHIH,1,1,2,3,2.1.1.2,262
CHIH,1,1,2,3,3.1.1.2,304
CHIH,1,1,2,3,4.1.1.2,319
CHIH,1,1,2,3,5.1.1.2,349
CHIH,1,1,2,3,6.1.1.2,329
CHIH,1,1,2,3,7.1.1.2,244
CHIH,1,1,2,3,8.1.1.2,352
CHIH,1,1,2,3,9.1.1.2,207
CHIH,1,1,2,4,1.1.1.2,53
CHIH,1,1,2,4,2.1.1.2,24
CHIH,1,1,2,4,3.1.1.2,20
CHIH,1,1,2,4,4.1.1.2,126
CHIH,1,1,2,4,5.1.1.2,73
CHIH,1,1,2,4,6.1.1.2,318
CHIH,1,1,2,4,7.1.1.2,108
CHIH,1,1,2,4,8.1.1.2,311
CHIH,1,1,2,4,9.1.1.2,1
CHIH,1,1,2,7,1.1.1.2,161
CHIH,1,1,2,7,2.1.1.2,95
CHIH,1,1,2,7,3.1.1.2,44
CHIH,1,1,2,7,4.1.1.2,170
CHIH,1,1,2,7,5.1.1.2,225
CHIH,1,1,2,7,6.1.1.2,281
CHIH,1,1,2,7,7.1.1.2,106
CHIH,1,1,2,7,8.1.1.2,272
CHIH,1,1,2,7,9.1.1.2,72
CHIH,1,1,2,8,1.1.1.2,33
CHIH,1,1,2,8,2.1.1.2,3
CHIH,1,1,2,8,3.1.1.2,16
CHIH,1,1,2,8,4.1.1.2,73
CHIH,1,1,2,8,5.1.1.2,50
CHIH,1,1,2,8,6.1.1.2,274
CHIH,1,1,2,8,7.1.1.2,71
CHIH,1,1,2,8,8.1.1.2,246
CHIH,1,2,1,2,1.1.2.1,310
CHIH,1,2,1,2,2.1.2.1,379
CHIH,1,2,1,2,3.1.2.1,411
CHIH,1,2,1,2,4.1.2.1,315
CHIH,1,2,1,2,5.1.2.1,416
CHIH,1,2,1,2,6.1.2.1,28
CHIH,1,2,1,2,7.1.2.1,276
CHIH,1,2,1,2,8.1.2.1,50
CHIH,1,2,1,2,9.1.2.1,458
CHIH,1,2,1,4,1.1.2.1,86
CHIH,1,2,1,4,2.1.2.1,141
CHIH,1,2,1,4,3.1.2.1,127
CHIH,1,2,1,4,4.1.2.1,122
CHIH,1,2,1,4,5.1.2.1,140
CHIH,1,2,1,4,6.1.2.1,17
CHIH,1,2,1,4,7.1.2.1,140
CHIH,1,2,1,4,8.1.2.1,9
CHIH,1,2,1,4,9.1.2.1,252
CHIH,1,2,1,6,1.1.2.1,188
CHIH,1,2,1,6,2.1.2.1,134
CHIH,1,2,1,6,3.1.2.1,43
CHIH,1,2,1,6,4.1.2.1,133
CHIH,1,2,1,6,5.1.2.1,266
CHIH,1,2,1,6,6.1.2.1,17
CHIH,1,2,1,6,7.1.2.1,49
CHIH,1,2,1,6,8.1.2.1,28
CHIH,1,2,1,6,9.1.2.1,157
CHIH,1,2,1,8,1.1.2.1,60
CHIH,1,2,1,8,2.1.2.1,42
CHIH,1,2,1,8,3.1.2.1,15
CHIH,1,2,1,8,4.1.2.1,36
CHIH,1,2,1,8,5.1.2.1,91
CHIH,1,2,1,8,6.1.2.1,10
CHIH,1,2,1,8,7.1.2.1,14
CHIH,1,2,1,8,8.1.2.1,2
CHIH,1,2,1,8,9.1.2.1,85
CHIH,1,2,2,4,1.1.2.2,224
CHIH,1,2,2,4,2.1.2.2,238
CHIH,1,2,2,4,3.1.2.2,284
CHIH,1,2,2,4,4.1.2.2,193
CHIH,1,2,2,4,5.1.2.2,276
CHIH,1,2,2,4,6.1.2.2,11
CHIH,1,2,2,4,7.1.2.2,136
CHIH,1,2,2,4,8.1.2.2,41
CHIH,1,2,2,4,9.1.2.2,206
CHIH,1,2,2,8,1.1.2.2,128
CHIH,1,2,2,8,2.1.2.2,92
CHIH,1,2,2,8,3.1.2.2,28
CHIH,1,2,2,8,4.1.2.2,97
CHIH,1,2,2,8,5.1.2.2,175
CHIH,1,2,2,8,6.1.2.2,7
CHIH,1,2,2,8,7.1.2.2,35
CHIH,1,2,2,8,8.1.2.2,26
CHIH,1,2,2,8,9.1.2.2,72
CHIH,2,1,1,5,1.2.1.1,216
CHIH,2,1,1,5,2.2.1.1,412
CHIH,2,1,1,5,3.2.1.1,442
CHIH,2,1,1,5,4.2.1.1,335
CHIH,2,1,1,5,5.2.1.1,228
CHIH,2,1,1,5,6.2.1.1,73
CHIH,2,1,1,5,7.2.1.1,454
CHIH,2,1,1,5,8.2.1.1,119
CHIH,2,1,1,5,9.2.1.1,364
CHIH,2,1,1,6,1.2.1.1,94
CHIH,2,1,1,6,2.2.1.1,167
CHIH,2,1,1,6,3.2.1.1,74
CHIH,2,1,1,6,4.2.1.1,153
CHIH,2,1,1,6,5.2.1.1,78
CHIH,2,1,1,6,6.2.1.1,62
CHIH,2,1,1,6,7.2.1.1,227
CHIH,2,1,1,6,8.2.1.1,97
CHIH,2,1,1,6,9.2.1.1,63
CHIH,2,1,1,7,1.2.1.1,100
CHIH,2,1,1,7,2.2.1.1,245
CHIH,2,1,1,7,3.2.1.1,182
CHIH,2,1,1,7,4.2.1.1,186
CHIH,2,1,1,7,5.2.1.1,104
CHIH,2,1,1,7,6.2.1.1,25
CHIH,2,1,1,7,7.2.1.1,316
CHIH,2,1,1,7,8.2.1.1,39
CHIH,2,1,1,7,9.2.1.1,229
CHIH,2,1,1,8,1.2.1.1,74
CHIH,2,1,1,8,2.2.1.1,146
CHIH,2,1,1,8,3.2.1.1,70
CHIH,2,1,1,8,4.2.1.1,100
CHIH,2,1,1,8,5.2.1.1,55
CHIH,2,1,1,8,6.2.1.1,18
CHIH,2,1,1,8,7.2.1.1,190
CHIH,2,1,1,8,8.2.1.1,32
CHIH,2,1,1,8,9.2.1.1,62
CHIH,2,1,2,7,1.2.1.2,116
CHIH,2,1,2,7,2.2.1.2,167
CHIH,2,1,2,7,3.2.1.2,260
CHIH,2,1,2,7,4.2.1.2,149
CHIH,2,1,2,7,5.2.1.2,124
CHIH,2,1,2,7,6.2.1.2,48
CHIH,2,1,2,7,7.2.1.2,138
CHIH,2,1,2,7,8.2.1.2,80
CHIH,2,1,2,7,9.2.1.2,135
CHIH,2,1,2,8,1.2.1.2,20
CHIH,2,1,2,8,2.2.1.2,21
CHIH,2,1,2,8,3.2.1.2,4
CHIH,2,1,2,8,4.2.1.2,53
CHIH,2,1,2,8,5.2.1.2,23
CHIH,2,1,2,8,6.2.1.2,44
CHIH,2,1,2,8,7.2.1.2,37
CHIH,2,1,2,8,8.2.1.2,65
CHIH,2,1,2,8,9.2.1.2,1
CHIH,2,2,1,6,1.2.2.1,122
CHIH,2,2,1,6,2.2.2.1,245
CHIH,2,2,1,6,3.2.2.1,368
CHIH,2,2,1,6,4.2.2.1,182
CHIH,2,2,1,6,5.2.2.1,150
CHIH,2,2,1,6,6.2.2.1,11
CHIH,2,2,1,6,7.2.2.1,227
CHIH,2,2,1,6,8.2.2.1,22
CHIH,2,2,1,6,9.2.2.1,301
CHIH,2,2,1,8,1.2.2.1,26
CHIH,2,2,1,8,2.2.2.1,99
CHIH,2,2,1,8,3.2.2.1,112
CHIH,2,2,1,8,4.2.2.1,86
CHIH,2,2,1,8,5.2.2.1,49
CHIH,2,2,1,8,6.2.2.1,7
CHIH,2,2,1,8,7.2.2.1,126
CHIH,2,2,1,8,8.2.2.1,7
CHIH,2,2,1,8,9.2.2.1,167
CHIH,2,2,2,8,1.2.2.2,96
CHIH,2,2,2,8,2.2.2.2,146
CHIH,2,2,2,8,3.2.2.2,256
CHIH,2,2,2,8,4.2.2.2,96
CHIH,2,2,2,8,5.2.2.2,101
CHIH,2,2,2,8,6.2.2.2,4
CHIH,2,2,2,8,7.2.2.2,101
CHIH,2,2,2,8,8.2.2.2,15
CHIH,2,2,2,8,9.2.2.2,134
COL,1,1,1,1,1.1.1.1,504
COL,1,1,1,1,2.1.1.1,446
COL,1,1,1,2,1.1.1.1,298
COL,1,1,1,2,2.1.1.1,177
COL,1,1,1,3,1.1.1.1,271
COL,1,1,1,3,2.1.1.1,204
COL,1,1,1,4,1.1.1.1,180
COL,1,1,1,4,2.1.1.1,110
COL,1,1,1,5,1.1.1.1,344
COL,1,1,1,5,2.1.1.1,131
COL,1,1,1,6,1.1.1.1,172
COL,1,1,1,6,2.1.1.1,47
COL,1,1,1,7,1.1.1.1,176
COL,1,1,1,7,2.1.1.1,41
COL,1,1,1,8,1.1.1.1,109
COL,1,1,1,8,2.1.1.1,23
COL,1,1,2,3,1.1.1.2,233
COL,1,1,2,3,2.1.1.2,242
COL,1,1,2,4,1.1.1.2,118
COL,1,1,2,4,2.1.1.2,67
COL,1,1,2,7,1.1.1.2,168
COL,1,1,2,7,2.1.1.2,90
COL,1,1,2,8,1.1.1.2,63
COL,1,1,2,8,2.1.1.2,24
COL,1,2,1,2,1.1.2.1,206
COL,1,2,1,2,2.1.2.1,269
COL,1,2,1,4,1.1.2.1,91
COL,1,2,1,4,2.1.2.1,94
COL,1,2,1,6,1.1.2.1,172
COL,1,2,1,6,2.1.2.1,84
COL,1,2,1,8,1.1.2.1,67
COL,1,2,1,8,2.1.2.1,18
COL,1,2,2,4,1.1.2.2,115
COL,1,2,2,4,2.1.2.2,175
COL,1,2,2,8,1.1.2.2,105
COL,1,2,2,8,2.1.2.2,66
COL,2,1,1,5,1.2.1.1,160
COL,2,1,1,5,2.2.1.1,315
COL,2,1,1,6,1.2.1.1,126
COL,2,1,1,6,2.2.1.1,130
COL,2,1,1,7,1.2.1.1,95
COL,2,1,1,7,2.2.1.1,163
COL,2,1,1,8,1.2.1.1,71
COL,2,1,1,8,2.2.1.1,87
COL,2,1,2,7,1.2.1.2,65
COL,2,1,2,7,2.2.1.2,152
COL,2,1,2,8,1.2.1.2,55
COL,2,1,2,8,2.2.1.2,43
COL,2,2,1,6,1.2.2.1,34
COL,2,2,1,6,2.2.2.1,185
COL,2,2,1,8,1.2.2.1,24
COL,2,2,1,8,2.2.2.1,76
COL,2,2,2,8,1.2.2.2,10
COL,2,2,2,8,2.2.2.2,109
NAY,1,1,1,1,1.1.1.1,576
NAY,1,1,1,1,2.1.1.1,562
NAY,1,1,1,1,3.1.1.1,530
NAY,1,1,1,2,1.1.1.1,362
NAY,1,1,1,2,2.1.1.1,195
NAY,1,1,1,2,3.1.1.1,277
NAY,1,1,1,3,1.1.1.1,402
NAY,1,1,1,3,2.1.1.1,236
NAY,1,1,1,3,3.1.1.1,196
NAY,1,1,1,4,1.1.1.1,275
NAY,1,1,1,4,2.1.1.1,150
NAY,1,1,1,4,3.1.1.1,129
NAY,1,1,1,5,1.1.1.1,80
NAY,1,1,1,5,2.1.1.1,475
NAY,1,1,1,5,3.1.1.1,279
NAY,1,1,1,6,1.1.1.1,47
NAY,1,1,1,6,2.1.1.1,152
NAY,1,1,1,6,3.1.1.1,112
NAY,1,1,1,7,1.1.1.1,61
NAY,1,1,1,7,2.1.1.1,196
NAY,1,1,1,7,3.1.1.1,60
NAY,1,1,1,8,1.1.1.1,38
NAY,1,1,1,8,2.1.1.1,120
NAY,1,1,1,8,3.1.1.1,31
NAY,1,1,2,3,1.1.1.2,174
NAY,1,1,2,3,2.1.1.2,326
NAY,1,1,2,3,3.1.1.2,334
NAY,1,1,2,4,1.1.1.2,87
NAY,1,1,2,4,2.1.1.2,45
NAY,1,1,2,4,3.1.1.2,148
NAY,1,1,2,7,1.1.1.2,19
NAY,1,1,2,7,2.1.1.2,279
NAY,1,1,2,7,3.1.1.2,219
NAY,1,1,2,8,1.1.1.2,9
NAY,1,1,2,8,2.1.1.2,32
NAY,1,1,2,8,3.1.1.2,81
NAY,1,2,1,2,1.1.2.1,214
NAY,1,2,1,2,2.1.2.1,367
NAY,1,2,1,2,3.1.2.1,253
NAY,1,2,1,4,1.1.2.1,127
NAY,1,2,1,4,2.1.2.1,86
NAY,1,2,1,4,3.1.2.1,67
NAY,1,2,1,6,1.1.2.1,33
NAY,1,2,1,6,2.1.2.1,323
NAY,1,2,1,6,3.1.2.1,167
NAY,1,2,1,8,1.1.2.1,23
NAY,1,2,1,8,2.1.2.1,76
NAY,1,2,1,8,3.1.2.1,29
NAY,1,2,2,4,1.1.2.2,87
NAY,1,2,2,4,2.1.2.2,281
NAY,1,2,2,4,3.1.2.2,186
NAY,1,2,2,8,1.1.2.2,10
NAY,1,2,2,8,2.1.2.2,247
NAY,1,2,2,8,3.1.2.2,138
NAY,2,1,1,5,1.2.1.1,496
NAY,2,1,1,5,2.2.1.1,87
NAY,2,1,1,5,3.2.1.1,251
NAY,2,1,1,6,1.2.1.1,315
NAY,2,1,1,6,2.2.1.1,43
NAY,2,1,1,6,3.2.1.1,165
NAY,2,1,1,7,1.2.1.1,341
NAY,2,1,1,7,2.2.1.1,40
NAY,2,1,1,7,3.2.1.1,136
NAY,2,1,1,8,1.2.1.1,237
NAY,2,1,1,8,2.2.1.1,30
NAY,2,1,1,8,3.2.1.1,98
NAY,2,1,2,7,1.2.1.2,155
NAY,2,1,2,7,2.2.1.2,47
NAY,2,1,2,7,3.2.1.2,115
NAY,2,1,2,8,1.2.1.2,78
NAY,2,1,2,8,2.2.1.2,13
NAY,2,1,2,8,3.2.1.2,67
NAY,2,2,1,6,1.2.2.1,181
NAY,2,2,1,6,2.2.2.1,44
NAY,2,2,1,6,3.2.2.1,86
NAY,2,2,1,8,1.2.2.1,104
NAY,2,2,1,8,2.2.2.1,10
NAY,2,2,1,8,3.2.2.1,38
NAY,2,2,2,8,1.2.2.2,77
NAY,2,2,2,8,2.2.2.2,34
NAY,2,2,2,8,3.2.2.2,48
ZAC,1,1,1,1,1.1.1.1,577
ZAC,1,1,1,1,2.1.1.1,749
ZAC,1,1,1,1,3.1.1.1,627
ZAC,1,1,1,1,4.1.1.1,555
ZAC,1,1,1,2,1.1.1.1,307
ZAC,1,1,1,2,2.1.1.1,542
ZAC,1,1,1,2,3.1.1.1,262
ZAC,1,1,1,2,4.1.1.1,143
ZAC,1,1,1,3,1.1.1.1,275
ZAC,1,1,1,3,2.1.1.1,457
ZAC,1,1,1,3,3.1.1.1,314
ZAC,1,1,1,3,4.1.1.1,208
ZAC,1,1,1,4,1.1.1.1,224
ZAC,1,1,1,4,2.1.1.1,416
ZAC,1,1,1,4,3.1.1.1,195
ZAC,1,1,1,4,4.1.1.1,107
ZAC,1,1,1,5,1.1.1.1,278
ZAC,1,1,1,5,2.1.1.1,371
ZAC,1,1,1,5,3.1.1.1,343
ZAC,1,1,1,5,4.1.1.1,262
ZAC,1,1,1,6,1.1.1.1,128
ZAC,1,1,1,6,2.1.1.1,211
ZAC,1,1,1,6,3.1.1.1,70
ZAC,1,1,1,6,4.1.1.1,49
ZAC,1,1,1,7,1.1.1.1,95
ZAC,1,1,1,7,2.1.1.1,149
ZAC,1,1,1,7,3.1.1.1,116
ZAC,1,1,1,7,4.1.1.1,66
ZAC,1,1,1,8,1.1.1.1,72
ZAC,1,1,1,8,2.1.1.1,120
ZAC,1,1,1,8,3.1.1.1,40
ZAC,1,1,1,8,4.1.1.1,36
ZAC,1,1,2,3,1.1.1.2,302
ZAC,1,1,2,3,2.1.1.2,292
ZAC,1,1,2,3,3.1.1.2,313
ZAC,1,1,2,3,4.1.1.2,347
ZAC,1,1,2,4,1.1.1.2,83
ZAC,1,1,2,4,2.1.1.2,126
ZAC,1,1,2,4,3.1.1.2,67
ZAC,1,1,2,4,4.1.1.2,36
ZAC,1,1,2,7,1.1.1.2,183
ZAC,1,1,2,7,2.1.1.2,222
ZAC,1,1,2,7,3.1.1.2,227
ZAC,1,1,2,7,4.1.1.2,196
ZAC,1,1,2,8,1.1.1.2,56
ZAC,1,1,2,8,2.1.1.2,91
ZAC,1,1,2,8,3.1.1.2,30
ZAC,1,1,2,8,4.1.1.2,13
ZAC,1,2,1,2,1.1.2.1,270
ZAC,1,2,1,2,2.1.2.1,207
ZAC,1,2,1,2,3.1.2.1,365
ZAC,1,2,1,2,4.1.2.1,412
ZAC,1,2,1,4,1.1.2.1,51
ZAC,1,2,1,4,2.1.2.1,41
ZAC,1,2,1,4,3.1.2.1,119
ZAC,1,2,1,4,4.1.2.1,101
ZAC,1,2,1,6,1.1.2.1,150
ZAC,1,2,1,6,2.1.2.1,160
ZAC,1,2,1,6,3.1.2.1,273
ZAC,1,2,1,6,4.1.2.1,213
ZAC,1,2,1,8,1.1.2.1,23
ZAC,1,2,1,8,2.1.2.1,29
ZAC,1,2,1,8,3.1.2.1,76
ZAC,1,2,1,8,4.1.2.1,30
ZAC,1,2,2,4,1.1.2.2,219
ZAC,1,2,2,4,2.1.2.2,166
ZAC,1,2,2,4,3.1.2.2,246
ZAC,1,2,2,4,4.1.2.2,311
ZAC,1,2,2,8,1.1.2.2,127
ZAC,1,2,2,8,2.1.2.2,131
ZAC,1,2,2,8,3.1.2.2,197
ZAC,1,2,2,8,4.1.2.2,183
ZAC,2,1,1,5,1.2.1.1,299
ZAC,2,1,1,5,2.2.1.1,378
ZAC,2,1,1,5,3.2.1.1,284
ZAC,2,1,1,5,4.2.1.1,293
ZAC,2,1,1,6,1.2.1.1,179
ZAC,2,1,1,6,2.2.1.1,331
ZAC,2,1,1,6,3.2.1.1,192
ZAC,2,1,1,6,4.2.1.1,94
ZAC,2,1,1,7,1.2.1.1,180
ZAC,2,1,1,7,2.2.1.1,308
ZAC,2,1,1,7,3.2.1.1,198
ZAC,2,1,1,7,4.2.1.1,142
ZAC,2,1,1,8,1.2.1.1,152
ZAC,2,1,1,8,2.2.1.1,296
ZAC,2,1,1,8,3.2.1.1,155
ZAC,2,1,1,8,4.2.1.1,71
ZAC,2,1,2,7,1.2.1.2,119
ZAC,2,1,2,7,2.2.1.2,70
ZAC,2,1,2,7,3.2.1.2,86
ZAC,2,1,2,7,4.2.1.2,151
ZAC,2,1,2,8,1.2.1.2,27
ZAC,2,1,2,8,2.2.1.2,35
ZAC,2,1,2,8,3.2.1.2,37
ZAC,2,1,2,8,4.2.1.2,23
ZAC,2,2,1,6,1.2.2.1,120
ZAC,2,2,1,6,2.2.2.1,47
ZAC,2,2,1,6,3.2.2.1,92
ZAC,2,2,1,6,4.2.2.1,199
ZAC,2,2,1,8,1.2.2.1,28
ZAC,2,2,1,8,2.2.2.1,12
ZAC,2,2,1,8,3.2.2.1,43
ZAC,2,2,1,8,4.2.2.1,71
ZAC,2,2,2,8,1.2.2.2,92
ZAC,2,2,2,8,2.2.2.2,35
ZAC,2,2,2,8,3.2.2.2,49
ZAC,2,2,2,8,4.2.2.2,128
