state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n,estrato_df_colapsado
CHIH,1,1,1,1,3.1.1.1,518,3.1.1.1
CHIH,1,1,1,1,9.1.1.1,530,9.1.1.1
CHIH,1,1,1,1,1.1.1.1,550,1.1.1.1
CHIH,1,1,1,1,2.1.1.1,577,2.1.1.1
CHIH,1,1,1,1,8.1.1.1,599,8.1.1.1
CHIH,1,1,1,1,5.1.1.1,603,5.1.1.1
CHIH,1,1,1,1,4.1.1.1,612,4.1.1.1
CHIH,1,1,1,1,6.1.1.1,643,6.1.1.1
CHIH,1,1,1,1,7.1.1.1,654,7.1.1.1
CHIH,1,2,1,2,6.1.2.1,28,6.1.1.1
CHIH,1,2,1,2,8.1.2.1,50,8.1.1.1
CHIH,1,1,1,2,9.1.1.1,72,9.1.1.1
CHIH,1,1,1,2,3.1.1.1,107,3.1.1.1
CHIH,1,1,1,2,5.1.1.1,187,5.1.1.1
CHIH,1,1,1,2,2.1.1.1,198,2.1.1.1
CHIH,1,1,1,2,1.1.1.1,240,1.1.1.1
CHIH,1,2,1,2,7.1.2.1,276,7.1.2.1
CHIH,1,1,1,2,4.1.1.1,297,4.1.1.1
CHIH,1,2,1,2,1.1.2.1,310,1.1.2.1
CHIH,1,2,1,2,4.1.2.1,315,4.1.2.1
CHIH,1,1,1,2,7.1.1.1,378,7.1.1.1
CHIH,1,2,1,2,2.1.2.1,379,2.1.2.1
CHIH,1,2,1,2,3.1.2.1,411,3.1.2.1
CHIH,1,2,1,2,5.1.2.1,416,5.1.2.1
CHIH,1,2,1,2,9.1.2.1,458,9.1.2.1
CHIH,1,1,1,2,8.1.1.1,549,8.1.1.1
CHIH,1,1,1,2,6.1.1.1,615,6.1.1.1
CHIH,1,1,2,3,9.1.1.2,207,9.1.1.2
CHIH,1,1,1,3,3.1.1.1,214,3.1.1.1
CHIH,1,1,2,3,7.1.1.2,244,7.1.1.2
CHIH,1,1,1,3,8.1.1.1,247,8.1.1.1
CHIH,1,1,1,3,5.1.1.1,254,5.1.1.1
CHIH,1,1,2,3,2.1.1.2,262,2.1.1.2
CHIH,1,1,1,3,1.1.1.1,273,1.1.1.1
CHIH,1,1,2,3,1.1.1.2,277,1.1.1.2
CHIH,1,1,1,3,4.1.1.1,293,4.1.1.1
CHIH,1,1,2,3,3.1.1.2,304,3.1.1.2
CHIH,1,1,1,3,6.1.1.1,314,6.1.1.1
CHIH,1,1,1,3,2.1.1.1,315,2.1.1.1
CHIH,1,1,2,3,4.1.1.2,319,4.1.1.2
CHIH,1,1,1,3,9.1.1.1,323,9.1.1.1
CHIH,1,1,2,3,6.1.1.2,329,6.1.1.2
CHIH,1,1,2,3,5.1.1.2,349,5.1.1.2
CHIH,1,1,2,3,8.1.1.2,352,8.1.1.2
CHIH,1,1,1,3,7.1.1.1,410,7.1.1.1
CHIH,1,1,2,4,9.1.1.2,1,9.1.1.1
CHIH,1,2,1,4,8.1.2.1,9,8.1.1.1
CHIH,1,2,2,4,6.1.2.2,11,6.1.1.1
CHIH,1,2,1,4,6.1.2.1,17,6.1.1.1
CHIH,1,1,2,4,3.1.1.2,20,3.1.1.1
CHIH,1,1,2,4,2.1.1.2,24,2.1.1.1
CHIH,1,2,2,4,8.1.2.2,41,8.1.1.1
CHIH,1,1,2,4,1.1.1.2,53,1.1.1.1
CHIH,1,1,1,4,9.1.1.1,71,9.1.1.1
CHIH,1,1,2,4,5.1.1.2,73,5.1.1.2
CHIH,1,2,1,4,1.1.2.1,86,1.1.2.1
CHIH,1,1,1,4,3.1.1.1,87,3.1.1.1
CHIH,1,1,2,4,7.1.1.2,108,7.1.1.2
CHIH,1,1,1,4,5.1.1.1,114,5.1.1.1
CHIH,1,2,1,4,4.1.2.1,122,4.1.2.1
CHIH,1,1,2,4,4.1.1.2,126,4.1.1.2
CHIH,1,2,1,4,3.1.2.1,127,3.1.2.1
CHIH,1,2,2,4,7.1.2.2,136,7.1.2.2
CHIH,1,2,1,4,5.1.2.1,140,5.1.2.1
CHIH,1,2,1,4,7.1.2.1,140,7.1.2.1
CHIH,1,2,1,4,2.1.2.1,141,2.1.2.1
CHIH,1,1,1,4,4.1.1.1,171,4.1.1.1
CHIH,1,1,1,4,2.1.1.1,174,2.1.1.1
CHIH,1,1,1,4,1.1.1.1,187,1.1.1.1
CHIH,1,2,2,4,4.1.2.2,193,4.1.2.2
CHIH,1,2,2,4,9.1.2.2,206,9.1.2.2
CHIH,1,2,2,4,1.1.2.2,224,1.1.2.2
CHIH,1,1,1,4,8.1.1.1,238,8.1.1.1
CHIH,1,2,2,4,2.1.2.2,238,2.1.2.2
CHIH,1,2,1,4,9.1.2.1,252,9.1.2.1
CHIH,1,1,1,4,7.1.1.1,270,7.1.1.1
CHIH,1,2,2,4,5.1.2.2,276,5.1.2.2
CHIH,1,2,2,4,3.1.2.2,284,3.1.2.2
CHIH,1,1,1,4,6.1.1.1,297,6.1.1.1
CHIH,1,1,2,4,8.1.1.2,311,8.1.1.2
CHIH,1,1,2,4,6.1.1.2,318,6.1.1.2
CHIH,2,1,1,5,6.2.1.1,73,6.2.1.1
CHIH,1,1,1,5,3.1.1.1,76,3.1.1.1
CHIH,2,1,1,5,8.2.1.1,119,8.2.1.1
CHIH,1,1,1,5,2.1.1.1,165,2.1.1.1
CHIH,1,1,1,5,9.1.1.1,166,9.1.1.1
CHIH,1,1,1,5,7.1.1.1,200,7.1.1.1
CHIH,2,1,1,5,1.2.1.1,216,1.2.1.1
CHIH,2,1,1,5,5.2.1.1,228,5.2.1.1
CHIH,1,1,1,5,4.1.1.1,277,4.1.1.1
CHIH,1,1,1,5,1.1.1.1,334,1.1.1.1
CHIH,2,1,1,5,4.2.1.1,335,4.2.1.1
CHIH,2,1,1,5,9.2.1.1,364,9.2.1.1
CHIH,1,1,1,5,5.1.1.1,375,5.1.1.1
CHIH,2,1,1,5,2.2.1.1,412,2.2.1.1
CHIH,2,1,1,5,3.2.1.1,442,3.2.1.1
CHIH,2,1,1,5,7.2.1.1,454,7.2.1.1
CHIH,1,1,1,5,8.1.1.1,480,8.1.1.1
CHIH,1,1,1,5,6.1.1.1,570,6.1.1.1
CHIH,1,1,1,6,9.1.1.1,9,9.1.1.1
CHIH,2,2,1,6,6.2.2.1,11,6.2.1.1
CHIH,1,2,1,6,6.1.2.1,17,6.1.1.1
CHIH,2,2,1,6,8.2.2.1,22,8.2.1.1
CHIH,1,2,1,6,8.1.2.1,28,8.1.1.1
CHIH,1,1,1,6,2.1.1.1,31,2.1.1.1
CHIH,1,1,1,6,3.1.1.1,33,3.1.1.1
CHIH,1,2,1,6,3.1.2.1,43,3.1.1.1
CHIH,1,2,1,6,7.1.2.1,49,7.1.1.1
CHIH,2,1,1,6,6.2.1.1,62,6.2.1.1
CHIH,2,1,1,6,9.2.1.1,63,9.2.1.1
CHIH,2,1,1,6,3.2.1.1,74,3.1.1.1
CHIH,2,1,1,6,5.2.1.1,78,5.2.1.1
CHIH,2,1,1,6,1.2.1.1,94,1.2.1.1
CHIH,2,1,1,6,8.2.1.1,97,8.2.1.1
CHIH,1,1,1,6,5.1.1.1,109,5.1.1.1
CHIH,2,2,1,6,1.2.2.1,122,1.2.2.1
CHIH,1,2,1,6,4.1.2.1,133,4.1.2.1
CHIH,1,2,1,6,2.1.2.1,134,2.1.1.1
CHIH,1,1,1,6,4.1.1.1,144,4.1.1.1
CHIH,1,1,1,6,1.1.1.1,146,1.1.1.1
CHIH,2,2,1,6,5.2.2.1,150,5.2.2.1
CHIH,1,1,1,6,7.1.1.1,151,7.1.1.1
CHIH,2,1,1,6,4.2.1.1,153,4.2.1.1
CHIH,1,2,1,6,9.1.2.1,157,9.1.1.1
CHIH,2,1,1,6,2.2.1.1,167,2.2.1.1
CHIH,2,2,1,6,4.2.2.1,182,4.2.2.1
CHIH,1,2,1,6,1.1.2.1,188,1.1.2.1
CHIH,2,1,1,6,7.2.1.1,227,7.2.1.1
CHIH,2,2,1,6,7.2.2.1,227,7.2.2.1
CHIH,2,2,1,6,2.2.2.1,245,2.2.2.1
CHIH,1,2,1,6,5.1.2.1,266,5.1.2.1
CHIH,2,2,1,6,9.2.2.1,301,9.2.2.1
CHIH,2,2,1,6,3.2.2.1,368,3.2.2.1
CHIH,1,1,1,6,8.1.1.1,452,8.1.1.1
CHIH,1,1,1,6,6.1.1.1,553,6.1.1.1
CHIH,2,1,1,7,6.2.1.1,25,6.1.1.1
CHIH,1,1,1,7,3.1.1.1,32,3.1.1.1
CHIH,2,1,1,7,8.2.1.1,39,8.1.1.1
CHIH,1,1,2,7,3.1.1.2,44,3.1.1.1
CHIH,2,1,2,7,6.2.1.2,48,6.1.1.1
CHIH,1,1,1,7,2.1.1.1,70,2.1.1.1
CHIH,1,1,2,7,9.1.1.2,72,9.1.1.2
CHIH,2,1,2,7,8.2.1.2,80,8.2.1.2
CHIH,1,1,1,7,7.1.1.1,94,7.1.1.1
CHIH,1,1,1,7,9.1.1.1,94,9.1.1.1
CHIH,1,1,2,7,2.1.1.2,95,2.1.1.2
CHIH,2,1,1,7,1.2.1.1,100,1.2.1.1
CHIH,2,1,1,7,5.2.1.1,104,5.2.1.1
CHIH,1,1,2,7,7.1.1.2,106,7.1.1.2
CHIH,1,1,1,7,4.1.1.1,107,4.1.1.1
CHIH,2,1,2,7,1.2.1.2,116,1.2.1.2
CHIH,2,1,2,7,5.2.1.2,124,5.2.1.2
CHIH,2,1,2,7,9.2.1.2,135,9.2.1.2
CHIH,2,1,2,7,7.2.1.2,138,7.2.1.2
CHIH,2,1,2,7,4.2.1.2,149,4.2.1.2
CHIH,1,1,1,7,5.1.1.1,150,5.1.1.1
CHIH,1,1,2,7,1.1.1.2,161,1.1.1.2
CHIH,2,1,2,7,2.2.1.2,167,2.2.1.2
CHIH,1,1,2,7,4.1.1.2,170,4.1.1.2
CHIH,1,1,1,7,1.1.1.1,173,1.1.1.1
CHIH,2,1,1,7,3.2.1.1,182,3.2.1.1
CHIH,2,1,1,7,4.2.1.1,186,4.2.1.1
CHIH,1,1,1,7,8.1.1.1,208,8.1.1.1
CHIH,1,1,2,7,5.1.1.2,225,5.1.1.2
CHIH,2,1,1,7,9.2.1.1,229,9.2.1.1
CHIH,2,1,1,7,2.2.1.1,245,2.2.1.1
CHIH,2,1,2,7,3.2.1.2,260,3.2.1.2
CHIH,1,1,2,7,8.1.1.2,272,8.1.1.2
CHIH,1,1,2,7,6.1.1.2,281,6.1.1.2
CHIH,1,1,1,7,6.1.1.1,289,6.1.1.1
CHIH,2,1,1,7,7.2.1.1,316,7.2.1.1
CHIH,2,1,2,8,9.2.1.2,1,9.1.1.1
CHIH,1,2,1,8,8.1.2.1,2,8.1.1.1
CHIH,1,1,2,8,2.1.1.2,3,2.1.1.1
CHIH,2,1,2,8,3.2.1.2,4,3.2.1.1
CHIH,2,2,2,8,6.2.2.2,4,6.1.1.1
CHIH,1,2,2,8,6.1.2.2,7,6.1.1.1
CHIH,2,2,1,8,6.2.2.1,7,6.1.1.1
CHIH,2,2,1,8,8.2.2.1,7,8.1.1.1
CHIH,1,1,1,8,9.1.1.1,9,9.1.1.1
CHIH,1,2,1,8,6.1.2.1,10,6.1.1.1
CHIH,1,2,1,8,7.1.2.1,14,7.1.1.1
CHIH,1,2,1,8,3.1.2.1,15,3.1.1.1
CHIH,2,2,2,8,8.2.2.2,15,8.1.1.1
CHIH,1,1,2,8,3.1.1.2,16,3.1.1.1
CHIH,1,1,1,8,3.1.1.1,17,3.1.1.1
CHIH,2,1,1,8,6.2.1.1,18,6.1.1.1
CHIH,2,1,2,8,1.2.1.2,20,1.2.1.1
CHIH,2,1,2,8,2.2.1.2,21,2.1.1.1
CHIH,2,1,2,8,5.2.1.2,23,5.2.1.1
CHIH,1,2,2,8,8.1.2.2,26,8.1.1.1
CHIH,2,2,1,8,1.2.2.1,26,1.2.1.1
CHIH,1,1,1,8,2.1.1.1,28,2.1.1.1
CHIH,1,2,2,8,3.1.2.2,28,3.1.1.1
CHIH,2,1,1,8,8.2.1.1,32,8.1.1.1
CHIH,1,1,2,8,1.1.1.2,33,1.1.1.1
CHIH,1,2,2,8,7.1.2.2,35,7.1.1.1
CHIH,1,2,1,8,4.1.2.1,36,4.1.1.1
CHIH,2,1,2,8,7.2.1.2,37,7.2.1.1
CHIH,1,2,1,8,2.1.2.1,42,2.1.1.1
CHIH,2,1,2,8,6.2.1.2,44,6.1.1.1
CHIH,2,2,1,8,5.2.2.1,49,5.2.1.1
CHIH,1,1,2,8,5.1.1.2,50,5.1.1.1
CHIH,2,1,2,8,4.2.1.2,53,4.2.1.1
CHIH,2,1,1,8,5.2.1.1,55,5.2.1.1
CHIH,1,1,1,8,5.1.1.1,59,5.1.1.1
CHIH,1,2,1,8,1.1.2.1,60,1.1.2.1
CHIH,2,1,1,8,9.2.1.1,62,9.2.1.1
CHIH,2,1,2,8,8.2.1.2,65,8.2.1.2
CHIH,2,1,1,8,3.2.1.1,70,3.2.1.1
CHIH,1,1,1,8,4.1.1.1,71,4.1.1.1
CHIH,1,1,2,8,7.1.1.2,71,7.1.1.2
CHIH,1,2,2,8,9.1.2.2,72,9.1.2.2
CHIH,1,1,2,8,4.1.1.2,73,4.1.1.2
CHIH,2,1,1,8,1.2.1.1,74,1.2.1.1
CHIH,1,1,1,8,7.1.1.1,80,7.1.1.1
CHIH,1,2,1,8,9.1.2.1,85,9.1.2.1
CHIH,2,2,1,8,4.2.2.1,86,4.2.2.1
CHIH,1,2,1,8,5.1.2.1,91,5.1.2.1
CHIH,1,2,2,8,2.1.2.2,92,2.1.2.2
CHIH,2,2,2,8,1.2.2.2,96,1.2.2.2
CHIH,2,2,2,8,4.2.2.2,96,4.2.2.2
CHIH,1,2,2,8,4.1.2.2,97,4.1.2.2
CHIH,2,2,1,8,2.2.2.1,99,2.2.2.1
CHIH,2,1,1,8,4.2.1.1,100,4.2.1.1
CHIH,2,2,2,8,5.2.2.2,101,5.2.2.2
CHIH,2,2,2,8,7.2.2.2,101,7.2.2.2
CHIH,2,2,1,8,3.2.2.1,112,3.2.2.1
CHIH,1,1,1,8,1.1.1.1,113,1.1.1.1
CHIH,2,2,1,8,7.2.2.1,126,7.2.2.1
CHIH,1,2,2,8,1.1.2.2,128,1.1.2.2
CHIH,2,2,2,8,9.2.2.2,134,9.2.2.2
CHIH,2,1,1,8,2.2.1.1,146,2.2.1.1
CHIH,2,2,2,8,2.2.2.2,146,2.2.2.2
CHIH,2,2,1,8,9.2.2.1,167,9.1.1.1
CHIH,1,2,2,8,5.1.2.2,175,5.1.2.2
CHIH,2,1,1,8,7.2.1.1,190,7.2.1.1
