state_abbr,indice_grupo,indice_votos,tam_ln,estratificacion_num,estrato_df,n,estrato_df_colapsado
CHIH,1,1,1,8,8.1.1.1,206,8.1.1.1
CHIH,1,1,2,8,8.1.1.2,246,8.1.1.2
CHIH,2,2,2,8,3.2.2.2,256,3.2.2.2
CHIH,1,1,2,8,6.1.1.2,274,6.1.1.2
CHIH,1,1,1,8,6.1.1.1,279,6.1.1.1
COL,1,1,1,1,1.1.1.1,504,1.1.1.1
COL,2,2,2,8,1.2.2.2,10,1.2.1.1
COL,1,2,1,8,2.1.2.1,18,2.1.1.1
COL,1,1,1,8,2.1.1.1,23,2.1.1.1
COL,1,1,2,8,2.1.1.2,24,2.1.1.1
COL,2,2,1,8,1.2.2.1,24,1.2.1.1
COL,2,2,1,6,1.2.2.1,34,1.2.1.1
COL,1,1,1,7,2.1.1.1,41,2.1.1.1
COL,2,1,2,8,2.2.1.2,43,2.2.1.1
COL,1,1,1,6,2.1.1.1,47,2.1.1.1
COL,2,1,2,8,1.2.1.2,55,1.2.1.1
COL,1,1,2,8,1.1.1.2,63,1.1.1.2
COL,2,1,2,7,1.2.1.2,65,1.2.1.1
COL,1,2,2,8,2.1.2.2,66,2.1.2.2
COL,1,1,2,4,2.1.1.2,67,2.1.1.2
COL,1,2,1,8,1.1.2.1,67,1.1.2.1
COL,2,1,1,8,1.2.1.1,71,1.2.1.1
COL,2,2,1,8,2.2.2.1,76,2.2.2.1
COL,1,2,1,6,2.1.2.1,84,2.1.2.1
COL,2,1,1,8,2.2.1.1,87,2.2.1.1
COL,1,1,2,7,2.1.1.2,90,2.1.1.1
COL,1,2,1,4,1.1.2.1,91,1.1.2.1
COL,1,2,1,4,2.1.2.1,94,2.1.2.1
COL,2,1,1,7,1.2.1.1,95,1.2.1.1
COL,1,2,2,8,1.1.2.2,105,1.1.2.2
COL,1,1,1,8,1.1.1.1,109,1.1.1.1
COL,2,2,2,8,2.2.2.2,109,2.2.2.2
COL,1,1,1,4,2.1.1.1,110,2.1.1.1
COL,1,2,2,4,1.1.2.2,115,1.1.2.2
COL,1,1,2,4,1.1.1.2,118,1.1.1.2
COL,2,1,1,6,1.2.1.1,126,1.2.1.1
COL,2,1,1,6,2.2.1.1,130,2.1.1.1
COL,1,1,1,5,2.1.1.1,131,2.1.1.1
COL,2,1,2,7,2.2.1.2,152,2.2.1.2
COL,2,1,1,5,1.2.1.1,160,1.2.1.1
COL,2,1,1,7,2.2.1.1,163,2.2.1.1
COL,1,1,2,7,1.1.1.2,168,1.1.1.2
COL,1,1,1,6,1.1.1.1,172,1.1.1.1
COL,1,2,1,6,1.1.2.1,172,1.1.2.1
COL,1,2,2,4,2.1.2.2,175,2.1.2.2
COL,1,1,1,7,1.1.1.1,176,1.1.1.1
COL,1,1,1,2,2.1.1.1,177,2.1.1.1
COL,1,1,1,4,1.1.1.1,180,1.1.1.1
COL,2,2,1,6,2.2.2.1,185,2.2.2.1
COL,1,1,1,3,2.1.1.1,204,2.1.1.1
COL,1,2,1,2,1.1.2.1,206,1.1.2.1
COL,1,1,2,3,1.1.1.2,233,1.1.1.2
COL,1,1,2,3,2.1.1.2,242,2.1.1.2
COL,1,2,1,2,2.1.2.1,269,2.1.2.1
COL,1,1,1,3,1.1.1.1,271,1.1.1.1
COL,1,1,1,2,1.1.1.1,298,1.1.1.1
COL,2,1,1,5,2.2.1.1,315,2.2.1.1
COL,1,1,1,5,1.1.1.1,344,1.1.1.1
COL,1,1,1,1,2.1.1.1,446,2.1.1.1
NAY,1,1,2,8,1.1.1.2,9,1.1.1.1
NAY,1,2,2,8,1.1.2.2,10,1.1.1.1
NAY,2,2,1,8,2.2.2.1,10,2.2.1.1
NAY,2,1,2,8,2.2.1.2,13,2.2.1.1
NAY,1,1,2,7,1.1.1.2,19,1.1.1.1
NAY,1,2,1,8,1.1.2.1,23,1.1.1.1
NAY,1,2,1,8,3.1.2.1,29,3.1.1.1
NAY,2,1,1,8,2.2.1.1,30,2.2.1.1
NAY,1,1,1,8,3.1.1.1,31,3.1.1.1
NAY,1,1,2,8,2.1.1.2,32,2.1.1.1
NAY,1,2,1,6,1.1.2.1,33,1.1.1.1
NAY,2,2,2,8,2.2.2.2,34,2.2.1.1
NAY,1,1,1,8,1.1.1.1,38,1.1.1.1
NAY,2,2,1,8,3.2.2.1,38,3.1.1.1
NAY,2,1,1,7,2.2.1.1,40,2.2.1.1
NAY,2,1,1,6,2.2.1.1,43,2.2.1.1
NAY,2,2,1,6,2.2.2.1,44,2.2.1.1
NAY,1,1,2,4,2.1.1.2,45,2.1.1.1
NAY,1,1,1,6,1.1.1.1,47,1.1.1.1
NAY,2,1,2,7,2.2.1.2,47,2.2.1.1
NAY,2,2,2,8,3.2.2.2,48,3.1.1.1
NAY,1,1,1,7,3.1.1.1,60,3.1.1.1
NAY,1,1,1,7,1.1.1.1,61,1.1.1.1
NAY,1,2,1,4,3.1.2.1,67,3.1.1.1
NAY,2,1,2,8,3.2.1.2,67,3.2.1.2
NAY,1,2,1,8,2.1.2.1,76,2.1.2.1
NAY,2,2,2,8,1.2.2.2,77,1.2.2.2
NAY,2,1,2,8,1.2.1.2,78,1.2.1.2
NAY,1,1,1,5,1.1.1.1,80,1.1.1.1
NAY,1,1,2,8,3.1.1.2,81,3.1.1.2
NAY,1,2,1,4,2.1.2.1,86,2.1.2.1
NAY,2,2,1,6,3.2.2.1,86,3.2.2.1
NAY,1,1,2,4,1.1.1.2,87,1.1.1.2
NAY,1,2,2,4,1.1.2.2,87,1.1.2.2
NAY,2,1,1,5,2.2.1.1,87,2.2.1.1
NAY,2,1,1,8,3.2.1.1,98,3.2.1.1
NAY,2,2,1,8,1.2.2.1,104,1.2.2.1
NAY,1,1,1,6,3.1.1.1,112,3.1.1.1
NAY,2,1,2,7,3.2.1.2,115,3.2.1.2
NAY,1,1,1,8,2.1.1.1,120,2.1.1.1
NAY,1,2,1,4,1.1.2.1,127,1.1.2.1
NAY,1,1,1,4,3.1.1.1,129,3.1.1.1
NAY,2,1,1,7,3.2.1.1,136,3.2.1.1
NAY,1,2,2,8,3.1.2.2,138,3.1.2.2
NAY,1,1,2,4,3.1.1.2,148,3.1.1.2
NAY,1,1,1,4,2.1.1.1,150,2.1.1.1
NAY,1,1,1,6,2.1.1.1,152,2.1.1.1
NAY,2,1,2,7,1.2.1.2,155,1.2.1.2
NAY,2,1,1,6,3.2.1.1,165,3.2.1.1
NAY,1,2,1,6,3.1.2.1,167,3.1.2.1
NAY,1,1,2,3,1.1.1.2,174,1.1.1.2
NAY,2,2,1,6,1.2.2.1,181,1.2.2.1
NAY,1,2,2,4,3.1.2.2,186,3.1.2.2
NAY,1,1,1,2,2.1.1.1,195,2.1.1.1
NAY,1,1,1,3,3.1.1.1,196,3.1.1.1
NAY,1,1,1,7,2.1.1.1,196,2.1.1.1
NAY,1,2,1,2,1.1.2.1,214,1.1.2.1
NAY,1,1,2,7,3.1.1.2,219,3.1.1.2
NAY,1,1,1,3,2.1.1.1,236,2.1.1.1
NAY,2,1,1,8,1.2.1.1,237,1.2.1.1
NAY,1,2,2,8,2.1.2.2,247,2.1.2.2
NAY,2,1,1,5,3.2.1.1,251,3.2.1.1
NAY,1,2,1,2,3.1.2.1,253,3.1.2.1
NAY,1,1,1,4,1.1.1.1,275,1.1.1.1
NAY,1,1,1,2,3.1.1.1,277,3.1.1.1
NAY,1,1,1,5,3.1.1.1,279,3.1.1.1
NAY,1,1,2,7,2.1.1.2,279,2.1.1.2
NAY,1,2,2,4,2.1.2.2,281,2.1.2.2
NAY,2,1,1,6,1.2.1.1,315,1.2.1.1
NAY,1,2,1,6,2.1.2.1,323,2.1.2.1
NAY,1,1,2,3,2.1.1.2,326,2.1.1.2
NAY,1,1,2,3,3.1.1.2,334,3.1.1.2
NAY,2,1,1,7,1.2.1.1,341,1.2.1.1
NAY,1,1,1,2,1.1.1.1,362,1.1.1.1
NAY,1,2,1,2,2.1.2.1,367,2.1.2.1
NAY,1,1,1,3,1.1.1.1,402,1.1.1.1
NAY,1,1,1,5,2.1.1.1,475,2.1.1.1
NAY,2,1,1,5,1.2.1.1,496,1.2.1.1
NAY,1,1,1,1,3.1.1.1,530,3.1.1.1
NAY,1,1,1,1,2.1.1.1,562,2.1.1.1
NAY,1,1,1,1,1.1.1.1,576,1.1.1.1
ZAC,2,2,1,8,2.2.2.1,12,2.2.1.1
ZAC,1,1,2,8,4.1.1.2,13,4.1.1.1
ZAC,1,2,1,8,1.1.2.1,23,1.1.1.1
ZAC,2,1,2,8,4.2.1.2,23,4.2.1.1
ZAC,2,1,2,8,1.2.1.2,27,1.2.1.1
ZAC,2,2,1,8,1.2.2.1,28,1.2.1.1
ZAC,1,2,1,8,2.1.2.1,29,2.1.1.1
ZAC,1,1,2,8,3.1.1.2,30,3.1.1.1
ZAC,1,2,1,8,4.1.2.1,30,4.1.1.1
ZAC,2,1,2,8,2.2.1.2,35,2.2.1.1
ZAC,2,2,2,8,2.2.2.2,35,2.2.1.1
ZAC,1,1,1,8,4.1.1.1,36,4.1.1.1
ZAC,1,1,2,4,4.1.1.2,36,4.1.1.1
ZAC,2,1,2,8,3.2.1.2,37,3.2.1.1
ZAC,1,1,1,8,3.1.1.1,40,3.1.1.1
ZAC,1,2,1,4,2.1.2.1,41,2.1.1.1
ZAC,2,2,1,8,3.2.2.1,43,3.2.2.1
ZAC,2,2,1,6,2.2.2.1,47,2.2.1.1
ZAC,1,1,1,6,4.1.1.1,49,4.1.1.1
ZAC,2,2,2,8,3.2.2.2,49,3.2.2.1
ZAC,1,2,1,4,1.1.2.1,51,1.1.1.1
ZAC,1,1,2,8,1.1.1.2,56,1.1.1.1
ZAC,1,1,1,7,4.1.1.1,66,4.1.1.1
ZAC,1,1,2,4,3.1.1.2,67,3.1.1.1
ZAC,1,1,1,6,3.1.1.1,70,3.1.1.1
ZAC,2,1,2,7,2.2.1.2,70,2.2.1.2
ZAC,2,1,1,8,4.2.1.1,71,4.2.1.1
ZAC,2,2,1,8,4.2.2.1,71,4.2.1.1
ZAC,1,1,1,8,1.1.1.1,72,1.1.1.1
ZAC,1,2,1,8,3.1.2.1,76,3.1.2.1
ZAC,1,1,2,4,1.1.1.2,83,1.1.1.2
ZAC,2,1,2,7,3.2.1.2,86,3.2.1.2
ZAC,1,1,2,8,2.1.1.2,91,2.1.1.2
ZAC,2,2,1,6,3.2.2.1,92,3.2.2.1
ZAC,2,2,2,8,1.2.2.2,92,1.2.2.2
ZAC,2,1,1,6,4.2.1.1,94,4.1.1.1
ZAC,1,1,1,7,1.1.1.1,95,1.1.1.1
ZAC,1,2,1,4,4.1.2.1,101,4.1.2.1
ZAC,1,1,1,4,4.1.1.1,107,4.1.1.1
ZAC,1,1,1,7,3.1.1.1,116,3.1.1.1
ZAC,1,2,1,4,3.1.2.1,119,3.1.2.1
ZAC,2,1,2,7,1.2.1.2,119,1.2.1.2
ZAC,1,1,1,8,2.1.1.1,120,2.1.1.1
ZAC,2,2,1,6,1.2.2.1,120,1.2.2.1
ZAC,1,1,2,4,2.1.1.2,126,2.1.1.2
ZAC,1,2,2,8,1.1.2.2,127,1.1.2.2
ZAC,1,1,1,6,1.1.1.1,128,1.1.1.1
ZAC,2,2,2,8,4.2.2.2,128,4.2.2.2
ZAC,1,2,2,8,2.1.2.2,131,2.1.2.2
ZAC,2,1,1,7,4.2.1.1,142,4.2.1.1
ZAC,1,1,1,2,4.1.1.1,143,4.1.1.1
ZAC,1,1,1,7,2.1.1.1,149,2.1.1.1
ZAC,1,2,1,6,1.1.2.1,150,1.1.2.1
ZAC,2,1,2,7,4.2.1.2,151,4.2.1.2
ZAC,2,1,1,8,1.2.1.1,152,1.2.1.1
ZAC,2,1,1,8,3.2.1.1,155,3.2.1.1
ZAC,1,2,1,6,2.1.2.1,160,2.1.2.1
ZAC,1,2,2,4,2.1.2.2,166,2.1.2.2
ZAC,2,1,1,6,1.2.1.1,179,1.2.1.1
ZAC,2,1,1,7,1.2.1.1,180,1.2.1.1
ZAC,1,1,2,7,1.1.1.2,183,1.1.1.2
ZAC,1,2,2,8,4.1.2.2,183,4.1.2.2
ZAC,2,1,1,6,3.2.1.1,192,3.2.1.1
ZAC,1,1,1,4,3.1.1.1,195,3.1.1.1
ZAC,1,1,2,7,4.1.1.2,196,4.1.1.2
ZAC,1,2,2,8,3.1.2.2,197,3.1.2.2
ZAC,2,1,1,7,3.2.1.1,198,3.2.1.1
ZAC,2,2,1,6,4.2.2.1,199,4.2.2.1
ZAC,1,2,1,2,2.1.2.1,207,2.1.2.1
ZAC,1,1,1,3,4.1.1.1,208,4.1.1.1
ZAC,1,1,1,6,2.1.1.1,211,2.1.1.1
ZAC,1,2,1,6,4.1.2.1,213,4.1.2.1
ZAC,1,2,2,4,1.1.2.2,219,1.1.2.2
ZAC,1,1,2,7,2.1.1.2,222,2.1.1.2
ZAC,1,1,1,4,1.1.1.1,224,1.1.1.1
ZAC,1,1,2,7,3.1.1.2,227,3.1.1.2
ZAC,1,2,2,4,3.1.2.2,246,3.1.2.2
ZAC,1,1,1,2,3.1.1.1,262,3.1.1.1
ZAC,1,1,1,5,4.1.1.1,262,4.1.1.1
ZAC,1,2,1,2,1.1.2.1,270,1.1.2.1
ZAC,1,2,1,6,3.1.2.1,273,3.1.2.1
ZAC,1,1,1,3,1.1.1.1,275,1.1.1.1
ZAC,1,1,1,5,1.1.1.1,278,1.1.1.1
ZAC,2,1,1,5,3.2.1.1,284,3.2.1.1
ZAC,1,1,2,3,2.1.1.2,292,2.1.1.2
ZAC,2,1,1,5,4.2.1.1,293,4.2.1.1
ZAC,2,1,1,8,2.2.1.1,296,2.2.1.1
ZAC,2,1,1,5,1.2.1.1,299,1.2.1.1
ZAC,1,1,2,3,1.1.1.2,302,1.1.1.2
ZAC,1,1,1,2,1.1.1.1,307,1.1.1.1
ZAC,2,1,1,7,2.2.1.1,308,2.2.1.1
ZAC,1,2,2,4,4.1.2.2,311,4.1.2.2
ZAC,1,1,2,3,3.1.1.2,313,3.1.1.2
ZAC,1,1,1,3,3.1.1.1,314,3.1.1.1
ZAC,2,1,1,6,2.2.1.1,331,2.2.1.1
ZAC,1,1,1,5,3.1.1.1,343,3.1.1.1
ZAC,1,1,2,3,4.1.1.2,347,4.1.1.2
ZAC,1,2,1,2,3.1.2.1,365,3.1.2.1
ZAC,1,1,1,5,2.1.1.1,371,2.1.1.1
ZAC,2,1,1,5,2.2.1.1,378,2.2.1.1
ZAC,1,2,1,2,4.1.2.1,412,4.1.2.1
ZAC,1,1,1,4,2.1.1.1,416,2.1.1.1
ZAC,1,1,1,3,2.1.1.1,457,2.1.1.1
ZAC,1,1,1,2,2.1.1.1,542,2.1.1.1
ZAC,1,1,1,1,4.1.1.1,555,4.1.1.1
ZAC,1,1,1,1,1.1.1.1,577,1.1.1.1
ZAC,1,1,1,1,3.1.1.1,627,3.1.1.1
ZAC,1,1,1,1,2.1.1.1,749,2.1.1.1
